voltage V,current_r pA,unc_r pA,current_g pA,unc_g pA,current_b pA,unc_b pA,current_y pA,unc_y pA,current_v pA,unc_v pA,current_uv pA,unc_uv pA
-9.00E+00,-6.58E-02,2.15E-02,-8.84E-02,2.65E-02,,,,,,,,
-8.00E+00,-2.87E-02,1.98E-02,-8.34E-02,2.50E-02,,,,,,,,
-7.00E+00,-2.70E-02,1.79E-02,-7.82E-02,2.35E-02,,,,,,,,
-6.00E+00,-2.28E-02,2.47E-02,-7.86E-02,2.36E-02,,,,,,,,
-5.00E+00,-1.70E-02,2.10E-02,-7.65E-02,2.36E-02,,,,,,,,
-4.00E+00,-9.43E-03,1.60E-02,-7.56E-02,2.27E-02,,,,,,,,
-3.00E+00,-7.81E-03,2.42E-02,-7.33E-02,2.20E-02,,,,,-5.88E+00,4.69E-02,-7.20E+01,3.41E+00
-2.75E+00,,,-1.94E+01,6.38E-02,,,,,,,,
-2.50E+00,,,-1.91E+01,5.87E-02,,,,,,,,
-2.25E+00,,,-1.89E+01,6.01E-02,,,,,,,,
-2.00E+00,-1.19E-04,1.81E-02,-2.10E+01,1.02E+00,-7.17E+01,8.30E-02,-1.36E+00,1.15E-01,-4.38E+00,5.89E-01,-1.57E+01,1.55E+00
-1.75E+00,,,-2.11E+01,5.47E-01,-6.33E+01,2.17E-01,,,-1.18E+00,,3.28E+02,1.12E+01
-1.65E+00,,,,,,,,,4.47E+00,1.41E-01,,
-1.60E+00,,,,,,,,,1.06E+01,3.57E-01,,
-1.55E+00,,,,,,,,,2.08E+01,1.36E+00,,
-1.50E+00,,,-1.80E+01,6.04E-02,-2.63E+01,9.22E-02,,,3.03E+01,2.13E-01,1.19E+03,4.80E+01
-1.40E+00,,,,,5.56E+01,3.38E-01,,,,,,
-1.30E+00,,,,,2.92E+02,5.11E+00,,,,,,
-1.25E+00,,,-1.75E+01,6.80E-02,4.17E+02,2.66E+00,,,,,2.69E+03,1.03E+02
-1.10E+00,,,-1.47E+01,4.49E-01,,,,,,,,
-1.00E+00,2.74E-02,1.78E-02,5.99E+00,4.30E-01,2.64E+03,3.28E+00,-3.08E+00,1.71E-01,4.45E+02,2.55E+01,4.91E+03,2.32E+02
-9.00E-01,,,1.33E+02,3.44E-01,,,6.72E+00,7.66E-02,,,,
-8.00E-01,,,6.07E+02,1.91E+00,,,5.91E+01,1.91E+00,,,,
-7.50E-01,3.07E-02,2.54E-02,1.05E+03,1.75E+01,5.71E+03,4.12E+02,1.41E+02,9.44E-01,,,7.69E+03,3.54E+02
-5.00E-01,1.09E-01,1.81E-02,4.46E+03,1.98E+01,1.08E+04,1.68E+02,1.40E+03,5.79E+01,,,1.14E+04,4.84E+02
-2.50E-01,1.72E+00,4.97E-02,1.09E+04,3.61E+02,1.67E+04,4.64E+01,3.49E+03,1.96E+02,,,1.60E+04,6.95E+02
0.00E+00,1.64E+01,2.22E+00,1.83E+04,1.29E+03,2.34E+04,3.59E+02,8.00E+03,1.39E+02,2.53E+03,2.03E+02,2.21E+04,1.40E+03
2.50E-01,2.53E+01,1.55E+00,,,,,,,,,,
5.00E-01,8.28E+01,1.72E-01,,,,,,,,,,
7.50E-01,1.82E+02,1.16E+01,,,,,,,,,,
1.00E+00,2.76E+02,2.47E+01,6.93E+04,3.99E+03,5.84E+04,2.69E+02,3.50E+04,6.25E+02,6.79E+03,4.78E+02,5.17E+04,2.26E+03
2.00E+00,8.12E+02,3.83E+01,1.38E+05,5.69E+03,1.04E+05,2.84E+03,6.75E+04,2.77E+03,1.17E+04,2.71E+02,9.43E+04,5.48E+03
3.00E+00,1.27E+03,3.69E+01,2.04E+05,1.11E+04,1.58E+05,7.54E+03,9.52E+04,3.46E+03,1.79E+04,1.20E+03,1.38E+05,1.94E+02
4.00E+00,1.54E+03,5.56E+01,2.37E+05,1.66E+04,1.96E+05,3.13E+03,1.17E+05,4.56E+03,2.34E+04,2.23E+03,1.83E+05,6.45E+03
5.00E+00,1.69E+03,6.98E+01,2.91E+05,1.48E+04,2.38E+05,1.57E+03,1.30E+05,6.82E+03,2.51E+04,5.45E+02,2.14E+05,1.50E+03
6.00E+00,1.73E+03,9.38E+01,3.17E+05,1.82E+04,2.61E+05,8.79E+03,1.44E+05,7.90E+03,2.94E+04,2.13E+03,2.47E+05,9.60E+03
7.00E+00,1.84E+03,1.01E+02,3.38E+05,1.81E+04,3.03E+05,4.69E+03,1.50E+05,4.97E+03,3.21E+04,3.60E+03,2.63E+05,2.16E+03
8.00E+00,1.91E+03,5.62E+01,3.52E+05,2.03E+04,3.14E+05,1.22E+04,1.59E+05,4.17E+02,3.94E+04,3.50E+02,2.83E+05,3.84E+03
9.00E+00,1.84E+03,2.52E+01,3.70E+05,1.11E+04,3.07E+05,5.83E+03,1.62E+05,4.97E+00,3.74E+04,3.42E+03,2.97E+05,1.39E+03
