voltage V,current nA,unc current nA
-9.00E+00,-8.84E-02,-2.65E-02
-8.00E+00,-8.34E-02,-0.025026
-7.00E+00,-7.82E-02,-0.02346
-6.00E+00,-7.86E-02,-0.023571
-5.00E+00,-7.65E-02,-0.022956
-4.00E+00,-7.56E-02,-0.022671
-3.00E+00,-7.33E-02,-0.021975
-2.00E+00,-6.34E-02,-0.019026
-1.00E+00,3.00E-02,0.009
0.00E+00,1.25E+01,3.73812
1.00E+00,3.59E+01,10.7775
2.00E+00,9.91E+01,29.7189
3.00E+00,1.46E+02,43.6536
4.00E+00,1.77E+02,52.9875
5.00E+00,2.07E+02,62.1612
6.00E+00,2.27E+02,68.019
7.00E+00,2.36E+02,70.818
8.00E+00,2.43E+02,72.885
9.00E+00,2.54E+02,76.116
